k,inertia,silhouette,davies_bouldin
2,1434.380683459296,0.3153254064548406,1.314714927049199
3,1212.017522106218,0.246063734812189,1.4746526430798639
4,1094.4778146030603,0.22846016351731663,1.5888162384381639
5,1006.0667709054937,0.23979015008559218,1.4956813639451443
6,942.3676865440138,0.21101855326098742,1.7071619882434022
7,866.2107421027599,0.22218295856704448,1.6023881393655022
8,816.9670647157744,0.23577780161654605,1.5281977917371088
9,773.4787908446715,0.23908682855292324,1.4655750092457207
10,734.8057841192324,0.24944922319032906,1.4855526107497734
11,706.7132205243926,0.25396185747365546,1.4750662542432493
12,684.8193466907592,0.2451436035300509,1.4352649788280745
13,660.6891399856399,0.2590481782087141,1.4288035676118829
14,621.4806266307899,0.25522073761036845,1.3828055176580603
15,597.8920740212042,0.28108886079653217,1.3311966994972828
